                                                                 Exchanges available for Freqtrade (87 exchanges):                                                                  
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Exchange Name              ┃ Class Name                      ┃ Markets                               ┃ Reason                                                                    ┃
┡━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┩
│ Alpaca                     │ alpaca                          │ spot                                  │ missing opt: fetchL2OrderBook.                                            │
│ Apex                       │ apex                            │ DEX: spot                             │                                                                           │
│ AscendEX                   │ ascendex                        │ spot                                  │ missing opt: fetchMyTrades.                                               │
│ Bequant                    │ bequant                         │ spot                                  │                                                                           │
│ BigONE                     │ bigone                          │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ Binance (Supported)        │ binance                         │ spot, cross futures, isolated futures │                                                                           │
│ Binance US (Supported)     │ binanceus                       │ spot, cross futures, isolated futures │                                                                           │
│ Binance USDⓈ-M (Supported) │ binanceusdm                     │ spot, cross futures, isolated futures │                                                                           │
│ BingX (Supported)          │ bingx                           │ spot                                  │                                                                           │
│ Bit2C                      │ bit2c                           │ spot                                  │ missing opt: fetchTickers, watchOHLCV.                                    │
│ bitbank                    │ bitbank                         │ spot                                  │ missing opt: fetchTickers, watchOHLCV.                                    │
│ Bitbns                     │ bitbns                          │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ Bitfinex                   │ bitfinex                        │ spot                                  │                                                                           │
│ Bitget                     │ bitget                          │ spot                                  │                                                                           │
│ Bithumb                    │ bithumb                         │ spot                                  │ missing opt: fetchMyTrades, watchOHLCV.                                   │
│ BitMart (Supported)        │ bitmart                         │ spot                                  │                                                                           │
│ BitoPro                    │ bitopro                         │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ Bitrue                     │ bitrue                          │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ Bitso                      │ bitso                           │ spot                                  │ missing opt: fetchTickers, watchOHLCV.                                    │
│ Bitstamp                   │ bitstamp                        │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ BIT.TEAM                   │ bitteam                         │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ Bitvavo                    │ bitvavo                         │ spot                                  │                                                                           │
│ Blockchain.com             │ blockchaincom                   │ spot                                  │ missing opt: fetchTrades.                                                 │
│ BTC-Alpha                  │ btcalpha                        │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ BtcBox                     │ btcbox                          │ spot                                  │ missing opt: fetchMyTrades, watchOHLCV.                                   │
│ BTC Markets                │ btcmarkets                      │ spot                                  │ missing opt: fetchTickers, watchOHLCV.                                    │
│ Bybit (Supported)          │ bybit                           │ spot, isolated futures                │                                                                           │
│ CEX.IO                     │ cex                             │ spot                                  │ missing opt: fetchMyTrades.                                               │
│ Coinbase Advanced          │ coinbase                        │ spot                                  │ missing opt: fetchL2OrderBook, watchOHLCV.                                │
│ Coinbase Advanced          │ coinbaseadvanced (use coinbase) │ spot                                  │ missing opt: fetchL2OrderBook, watchOHLCV.                                │
│ Coinbase Exchange          │ coinbaseexchange                │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ Coinbase International     │ coinbaseinternational           │ spot                                  │ missing opt: fetchOrderBook, fetchL2OrderBook, fetchTrades.               │
│ CoinCatch                  │ coincatch                       │ spot                                  │                                                                           │
│ CoinEx                     │ coinex                          │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ Coinlist                   │ coinlist                        │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ CoinMate                   │ coinmate                        │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ Coinmetro                  │ coinmetro                       │ spot                                  │ missing opt: fetchTicker, watchOHLCV.                                     │
│ CoinOne                    │ coinone                         │ spot                                  │ missing opt: createMarketOrder, watchOHLCV.                               │
│ Coins.ph                   │ coinsph                         │ spot                                  │ missing opt: watchOHLCV.                                                  │
│ Crypto.com                 │ cryptocom                       │ spot                                  │                                                                           │
│ Cryptomus                  │ cryptomus                       │ spot                                  │ missing opt: fetchMyTrades, createMarketOrder, fetchTicker, watchOHLCV.   │
